index,dp_calls_NORMAL,literal_iteration_NORMAL,literal_search_NORMAL,dp_calls_PREPROCESS,literal_iteration_PREPROCESS,literal_search_PREPROCESS,dp_calls_PURE_LITERAL,literal_iteration_PURE_LITERAL,literal_search_PURE_LITERAL,dp_calls_PREPROCESS_+_PURE_LITERAL,literal_iteration_PREPROCESS_+_PURE_LITERAL,literal_search_PREPROCESS_+_PURE_LITERAL
148,5,12788,22726,5,12560,22724,5,14038,24193,5,13920,24317
149,4,12135,22226,4,12296,22196,4,12983,23218,4,13256,23322
150,4,12038,21938,4,12149,21908,4,12936,22998,4,13165,23092
151,4,12212,22286,4,12323,22256,4,13110,23348,4,13339,23440
152,6,12794,22788,6,12588,22776,6,14018,24234,6,13916,24330
153,4,12178,22218,4,12289,22188,4,13076,23280,4,13305,23372
154,6,12857,22726,6,12560,22718,6,14173,24278,6,13980,24384
155,6,12897,22710,6,12562,22724,6,14261,24314,6,14034,24452
156,5,12001,21826,5,12099,21800,5,12913,22907,5,13123,23007
157,6,12873,22758,6,12576,22750,6,14189,24310,6,13996,24416
158,4,12320,22476,4,12417,22446,4,13232,23552,4,13449,23646
159,4,12187,22236,4,12298,22206,4,13085,23296,4,13314,23390
160,4,12208,22362,4,12363,22332,4,13062,23364,4,13331,23468
161,4,12056,21974,4,12167,21944,4,12954,23034,4,13183,23128
162,6,12836,22588,6,12502,22604,6,14200,24192,6,13974,24332
163,6,12896,22708,6,12562,22724,6,14260,24312,6,14034,24452
164,4,12041,21944,4,12152,21914,4,12939,23004,4,13168,23098
165,4,12204,22354,4,12359,22324,4,13058,23356,4,13327,23460
166,6,12941,22894,6,12644,22886,6,14257,24446,6,14064,24554
167,5,12764,22678,5,12535,22674,5,14014,24145,5,13895,24267
168,4,12286,22408,4,12383,22378,4,13198,23484,4,13415,23578
169,6,12921,22758,6,12585,22770,6,14285,24362,6,14057,24498
170,5,12816,22782,5,12589,22782,5,14066,24249,5,13949,24375
171,6,12636,22472,6,12430,22460,6,13860,23918,6,13758,24014
172,4,12124,22204,4,12285,22174,4,12972,23196,4,13245,23300
173,4,12161,22278,4,12322,22248,4,13009,23270,4,13282,23374
174,6,12885,22686,6,12550,22700,6,14249,24290,6,14022,24428
175,4,12168,22198,4,12279,22168,4,13066,23258,4,13295,23352
176,6,12814,22544,6,12477,22554,6,14178,24148,6,13949,24282
177,6,12840,22596,6,12504,22608,6,14204,24200,6,13976,24336
178,4,12190,22242,4,12301,22212,4,13088,23304,4,13317,23396
179,4,12173,22292,4,12328,22262,4,13027,23294,4,13296,23398
180,6,12887,22690,6,12548,22696,6,14251,24294,6,14020,24424
181,5,12531,22374,5,12387,22378,5,13699,23751,5,13667,23883
182,4,12076,22014,4,12187,21984,4,12974,23074,4,13203,23168
183,6,12759,22718,6,12553,22706,6,13983,24164,6,13881,24260
