index,dp_calls,literal_iteration,literal_search
542,5,12153,22130
543,6,12939,22794
544,4,12061,21984
545,6,12962,22840
546,4,12227,22290
547,5,12744,22638
548,4,12109,22080
549,4,12068,21998
550,4,12248,22358
551,6,12957,22830
552,4,12077,22016
553,4,12340,22516
554,5,11974,21772
555,6,12709,22618
556,6,12812,22636
557,6,12757,22714
558,5,12533,22378
559,4,12077,22110
560,6,12779,22570
561,5,12118,22060
562,5,11976,21776
563,6,12769,22550
564,5,12149,22122
565,6,12858,22728
566,6,12804,22620
567,4,12028,22002
568,5,12599,22510
569,5,12155,22134
570,4,12208,22252
571,4,12017,21980
572,4,12140,22142
573,6,12706,22612
574,4,12181,22198
575,6,12903,22722
576,6,12823,22562
577,5,12545,22402
578,6,12865,22646
579,6,12949,22910
580,5,12022,21868
581,6,12763,22726
582,4,11940,21836
583,4,12168,22198
584,4,12227,22410
585,4,12188,22322
586,6,12743,22686
587,4,12220,22302
588,5,11992,21808
589,6,12917,22750
590,4,12189,22240
591,6,12812,22824
592,5,12685,22682
593,5,12134,22092
594,6,12824,22564
595,5,12826,22802
596,6,12869,22750
597,4,11976,21908
598,4,11833,21622
599,6,12769,22550
600,5,12111,22046
601,5,12572,22456
602,6,12936,22788
603,6,12953,22918
604,4,12275,22386
605,5,12124,22072
606,4,12066,22088
607,6,12845,22702
608,4,12223,22282
609,4,11863,21672
610,6,12794,22788
611,4,12196,22228
612,6,12836,22684
613,6,12848,22708
614,4,12195,22252
615,4,12229,22094
616,6,12948,22812
617,6,12839,22690
618,4,11851,21648
619,4,12234,22304
620,4,12138,22138
621,6,12914,22744
622,4,11878,21702
623,5,12156,22136
624,4,12108,22078
625,6,12869,22654
626,4,11949,21854
627,4,12188,22212
628,4,12062,22080
629,6,12861,22638
630,5,12152,22128
631,6,12768,22736
632,4,11869,21694
633,6,12918,22848
634,6,12830,22860
635,4,12204,22354
636,4,12217,22296
637,4,11847,21640
638,6,12803,22618
639,4,12176,22188
640,4,12275,22386
641,5,12780,22710
642,4,12017,21980
643,4,12218,22298
644,5,12134,22092
645,5,12014,21852
646,4,12238,22312
647,6,12909,22830
648,4,12197,22256
649,4,12088,22038
650,6,12908,22828
651,6,12818,22836
652,4,12402,22640
653,6,12955,22826
654,4,11958,21872
655,4,12192,22246
656,6,12933,22782
657,6,12846,22704
658,5,12143,22110
659,4,12080,22116
660,4,12234,22330
661,4,12176,22188
662,6,12757,22714
663,4,12034,22014
664,6,12860,22732
665,4,12240,22116
666,6,12664,22528
667,6,12706,22612
668,6,12864,22740
669,4,12211,22284
670,5,12786,22722
671,4,11859,21674
672,5,12588,22488
673,4,11842,21630
674,5,12592,22496
675,4,12153,22262
676,4,12332,22500
677,6,12906,22728
678,6,12937,22790
679,4,12367,22570
680,4,12196,22338
681,6,12839,22594
682,6,12899,22714
683,5,12709,22568
684,5,12003,21830
685,5,11978,21780
686,6,12775,22562
687,4,12211,22378
688,6,12696,22592
689,4,12258,22378
690,6,12789,22778
691,6,12768,22548
692,4,11866,21688
693,4,12387,22610
694,4,12220,22302
695,4,12194,22334
696,4,11855,21656
697,6,12909,22830
698,4,12297,22430
699,5,12580,22472
700,4,11940,21836
701,4,12282,22400
702,6,12926,22864
703,4,12307,22250
704,6,12896,22708
705,5,12745,22640
706,6,12915,22746
707,6,12960,22836
708,6,12759,22530
709,6,12733,22666
710,5,12846,22842
711,6,12806,22812
712,5,12114,22052
713,4,12052,22050
714,6,12775,22750
715,5,12813,22776
716,4,11993,21932
717,4,12246,22328
718,6,12804,22808
719,6,12676,22552
720,6,12620,22440
721,5,12814,22778
722,4,12301,22438
723,6,12872,22756
724,5,12826,22802
725,5,12787,22724
726,6,12913,22838
727,4,11763,21482
728,4,12324,22484
729,6,12844,22700
730,5,12793,22736
731,6,12656,22512
732,6,12888,22788
733,4,12113,22182
734,6,12831,22674
735,4,12017,21980
736,6,12873,22758
737,5,12591,22494
738,5,12847,22844
739,4,12161,22278
740,4,12322,22480
741,4,12201,22264
742,5,12109,22042
743,4,11890,21736
744,4,12165,22286
745,6,12957,22830
746,6,12925,22862
747,5,12647,22606
748,5,12111,22046
749,4,12229,22294
750,4,12273,22382
751,6,12826,22664
752,6,12900,22716
753,4,12236,22334
754,4,11867,21690
755,6,12619,22438
756,4,12064,22074
757,4,12349,22534
758,4,12226,22314
759,6,12862,22736
760,6,12905,22822
761,4,12414,22664
762,4,12210,22282
763,6,12821,22558
764,5,12767,22684
765,4,12265,22366
766,4,11828,21612
767,4,12161,22184
768,6,12805,22622
769,4,12203,22242
770,4,11760,21476
771,6,12701,22602
772,6,12873,22758
773,6,12862,22736
774,5,12173,22170
775,4,12194,22224
776,6,12864,22740
777,6,12644,22488
778,5,12727,22604
779,4,12165,22192
780,4,12192,22340
781,4,12058,22072
782,4,12278,22392
783,4,12171,22178
784,4,12197,22256
785,6,12780,22572
786,6,12839,22594
787,5,12693,22698
788,4,12319,22274
789,4,11873,21702
790,6,12875,22762
791,4,12208,22252
792,5,12594,22500
793,6,12680,22560
794,6,12653,22506
795,4,12062,21986
796,4,11858,21672
797,6,12644,22488
798,5,12731,22612
799,6,12820,22556
800,4,12257,22350
801,6,12769,22550
802,6,12851,22714
803,6,12957,22926
804,4,12323,22482
805,6,12963,22938
806,4,12203,22362
807,6,12856,22628
808,6,12943,22898
809,4,12121,22104
810,4,12211,22284
811,6,12856,22724
812,6,12854,22720
813,6,12872,22756
814,5,12764,22678
815,4,12183,22228
816,4,12315,22466
817,5,12550,22412
818,5,12851,22852
819,6,12803,22806
820,5,12679,22670
821,4,12266,22368
822,6,12679,22558
823,6,12778,22756
824,4,11777,21510
825,6,12843,22698
826,4,12179,22220
827,6,12840,22692
828,4,12048,21958
829,6,12782,22764
830,4,12266,22368
831,6,12831,22674
832,5,12142,22108
833,6,12789,22778
834,4,11769,21494
835,6,12693,22586
836,6,12856,22628
837,6,12900,22716
838,4,12096,22054
839,4,12313,22462
840,5,12606,22524
841,4,12235,22106
842,4,12118,22098
843,5,12114,22052
844,6,12622,22444
845,4,12224,22084
846,5,12148,22120
847,6,12870,22752
848,4,12338,22512
849,5,12583,22478
850,5,12114,22052
851,6,12850,22712
852,6,12862,22736
853,6,12903,22722
854,4,12145,22246
855,6,12901,22814
856,6,12859,22730
857,4,12181,22198
858,4,12142,22146
859,6,12942,22800
860,4,12206,22248
861,4,12216,22268
862,6,12855,22722
